Waktu;Hari;Kelompok_Umur_Pengemudi;Jenis_Kelamin_Pengemudi;Pendidikan;Hubungan_Pengemudi_Kendaraan;Pengalaman_Mengemudi;Jenis_Kendaraan;Pemilik_Kendaraan;Usia_Kendaraan;Kerusakan_Kendaraan;Lokasi_Kecelakaan;Jalur_atau_Median;Kondisi_Jalan;Jenis_Persimpangan;Jenis_Permukaan_Jalan;Kondisi_Permukaan_Jalan;Kondisi_Pencahayaan;Kondisi_Cuaca;Jenis_Tabrakan;Jumlah_Kendaraan_Terlibat;Jumlah_Korban;Pergerakan_Kendaraan;Kelas_Korban;Jenis_Kelamin_Korban;Kelompok_Umur_Korban;Keparahan_Korban;Pekerjaan_Korban;Kondisi_Korban;Pergerakan_Pejalan_Kaki;Penyebab_Kecelakaan;Tingkat_Keparahan_Kecelakaan
468;0;1;0;3;0;2;2;1;5;2;2;5;2;5;0;3;3;6;2;2.0;1.0;9;1;1;0;2;3;3;4;13;1
478;6;1;2;2;3;2;2;1;4;2;4;2;2;5;3;3;3;6;2;1.0;1.0;1;2;1;5;2;6;3;4;16;1
416;0;0;0;2;0;4;4;1;5;2;1;4;2;6;0;3;3;6;2;1.0;1.0;9;1;0;0;2;6;3;4;6;1
597;4;2;1;2;0;4;3;1;5;2;0;0;2;5;0;3;2;6;6;2.0;3.0;4;3;2;3;3;3;3;4;18;1
597;4;0;2;3;0;3;2;1;5;2;12;2;2;5;0;3;2;6;2;2.0;3.0;1;3;2;3;3;3;3;4;4;1
597;4;0;0;3;0;2;13;1;5;2;12;2;2;5;0;3;2;6;2;2.0;3.0;1;1;0;0;2;3;3;4;0;1
597;4;0;0;3;2;2;6;1;5;2;4;2;2;5;3;3;2;6;2;2.0;3.0;12;3;2;3;3;3;3;4;18;1
504;3;1;0;3;0;1;3;3;1;2;12;2;2;6;0;0;2;3;6;2.0;1.0;1;1;0;0;2;3;3;4;6;1
504;3;0;0;3;0;4;4;3;5;2;8;5;2;6;0;0;2;3;2;2.0;1.0;1;3;2;3;3;3;3;4;18;1
352;0;0;0;3;0;1;13;1;5;2;12;5;2;4;0;3;3;6;2;3.0;1.0;1;1;1;4;2;6;3;4;16;1
